"GIS key",Species,Behavior,Count
CAC19870502F10,LHSP,1,3
CAC19870502F13,LHSP,1,1
CAC19870502F13,UNSP,1,3
CAC19870502F15,LHSP,1,1
CAC19870502F17,LHSP,1,1
CAC19870502F2,BRSP,1,1
CAC19870502F2,REPH,1,3
CAC19870502F2,REPH,2,5
CAC19870502F28,LHSP,1,2
CAC19870502F3,LTJA,1,1
CAC19870502F34,LHSP,3,1
CAC19870502F34,UNSP,3,1
CAC19870502F35,COPE,1,1
CAC19870502F36,LHSP,1,1
CAC19870502F39,COPE,1,2
CAC19870502F39,UNSP,1,1
CAC19870502F3,LHSP,1,1
CAC19870502F40,LHSP,1,1
CAC19870502F40,LHSP,2,6
CAC19870502F41,COPE,1,2
CAC19870502F42,COPE,1,1
CAC19870502F42,UNSP,1,3
CAC19870502F43,UNSP,1,1
CAC19870502F44,LHSP,1,3
CAC19870502F5,BFAL,1,1
CAC19870502F6,LHSP,4,1
CAC19870502F9,LHSP,1,1
CAC19870503F50,BFAL,1,1
CAC19870503F50,LHSP,1,1
CAC19870503F51,COPE,1,1
CAC19870503F52,COPE,1,1
CAC19870503F53,BRSP,1,1
CAC19870503F53,COPE,1,1
CAC19870503F54,COPE,1,3
CAC19870503F54,UNSP,1,1
CAC19870503F55,COPE,1,2
CAC19870503F55,BRSP,3,1
CAC19870503F56,COPE,1,3
CAC19870503F56,SOSH,1,1
CAC19870503F57,COPE,1,2
CAC19870503F60,BRSP,3,1
CAC19870503F62,COPE,1,1
CAC19870503F64,LHSP,1,1
CAC19870503F67,COPE,1,1
CAC19870503F67,BRSP,3,1
CAC19870503F68,LHSP,1,1
CAC19870503F69,COPE,1,1
CAC19870503F71,COPE,1,2
CAC19870503F72,COPE,1,1
CAC19870503F73,MUPE,1,1
CAC19870503F76,COPE,1,1
CAC19870503F78,COPE,1,3
CAC19870503F79,COPE,1,3
CAC19870503F81,COPE,1,2
CAC19870503F83,COPE,2,4
CAC19870503F85,COPE,1,2
CAC19870504F103,REPH,2,2
CAC19870504F104,ARTE,3,1
CAC19870504F108,REPH,1,2
CAC19870504F111,REPH,1,2
CAC19870504F115,REPH,1,1
CAC19870504F121,REPH,2,2
CAC19870504F122,REPH,2,3
CAC19870504F130,LHSP,1,1
CAC19870504F132,ARTE,1,2
CAC19870504F132,REPH,2,1
CAC19870504F136,REPH,1,1
CAC19870504F140,REPH,2,1
CAC19870504F141,REPH,2,1
CAC19870504F96,BFAL,4,1
CAC19870504F97,UNSP,1,1
CAC19870505F144,RBTR,2,1
CAC19870505F147,MOLA,2,1
CAC19870505F148,POJA,1,1
CAC19870505F149,WEGU,1,1
CAC19870505F149,UNDO,4,2
CAC19870505F149,WEGU,4,1
CAC19870505F150,SOSH,1,1
CAC19870505F150,SPSK,1,1
CAC19870505F150,WEGU,1,3
CAC19870505F150,UNDO,2,10
CAC19870505F150,WEGU,4,1
CAC19870505F151,SOSH,1,1
CAC19870505F152,WEGU,1,6
CAC19870505F153,WEGU,3,2
CAC19870505F154,PFSH,1,1
CAC19870505F154,RHAU,2,1
CAC19870505F156,POJA,1,1
CAC19870505F156,CASL,2,1
CAC19870505F157,WEGU,1,1
CAC19870505F157,SOSH,2,2
CAC19870505F158,BRPE,1,1
CAC19870505F158,SOSH,1,1
CAC19870505F160,WEGU,1,1
CAC19870505F160,SOSH,2,30
CAC19870505F161,SOSH,2,2
CAC19870505F162,SOSH,1,1
CAC19870505F162,WEGU,1,2
CAC19870505F162,SOSH,2,13
CAC19870505F162,BRPE,3,1
CAC19870505F162,WEGU,3,2
CAC19870505F163,SOSH,1,1
CAC19870505F163,WEGU,1,1
CAC19870505F163,SOSH,2,3
CAC19870505F164,SOSH,1,1
CAC19870505F164,WEGU,1,1
CAC19870505F164,SOSH,2,18
CAC19870505F164,WEGU,4,1
CAC19870505F165,SOSH,2,10
CAC19870505F166,PFSH,2,1
CAC19870505F166,CASL,6,5
CAC19870505F167,SOSH,1,1
CAC19870505F167,SOSH,2,1
CAC19870505F168,BRPE,1,2
CAC19870505F168,SOSH,1,1
CAC19870505F168,WEGU,1,2
CAC19870505F168,SOSH,2,1
CAC19870505F168,WEGU,2,1
CAC19870505F170,BRPE,1,1
CAC19870505F170,WEGU,1,1
CAC19870505F171,PFSH,1,1
CAC19870505F172,WEGU,1,3
CAC19870505F173,WEGU,1,1
CAC19870505F173,WEGU,4,1
CAC19870505F174,BRPE,1,1
CAC19870505F174,NOFU,1,1
CAC19870505F174,PFSH,1,1
CAC19870505F174,SOSH,1,4
CAC19870505F174,WEGU,1,1
CAC19870505F174,CASL,2,4
CAC19870505F174,SOSH,2,2
CAC19870505F174,WEGU,2,7
CAC19870505F174,WEGU,3,15
CAC19870505F175,CAGU,1,1
CAC19870505F175,PFSH,1,2
CAC19870505F175,POJA,1,1
CAC19870505F175,SOSH,1,1
CAC19870505F175,WEGU,1,2
CAC19870505F175,BRPE,2,2
CAC19870505F175,CAGU,2,18
CAC19870505F175,PFSH,2,10
CAC19870505F175,POJA,2,2
CAC19870505F175,SOSH,2,96
CAC19870505F175,UNJA,2,1
CAC19870505F175,WEGU,2,17
CAC19870505F176,BRPE,1,4
CAC19870505F176,CAGU,1,1
CAC19870505F176,PFSH,1,5
CAC19870505F176,WEGU,1,21
CAC19870505F176,BRPE,2,26
CAC19870505F176,CAGU,2,18
CAC19870505F176,PFSH,2,7
CAC19870505F176,SOSH,2,85
CAC19870505F176,UNCO,2,1
CAC19870505F176,WEGU,2,38
CAC19870505F177,PFSH,1,2
CAC19870505F177,POJA,1,1
CAC19870505F177,WEGU,1,3
CAC19870505F177,PFSH,2,4
CAC19870505F177,POJA,2,2
CAC19870505F177,SOSH,2,10
CAC19870505F178,SOSH,1,3
CAC19870505F179,WEGU,1,1
